date,client_id,well_id,well_name,forecast,actual
2/29/2020,1009,44677,Bauer 3,3965.4477,4183.9500
2/29/2020,1009,44678,McCloskey 42 3,2759.8850,3108.7100
2/29/2020,1009,44679,Slaughter 87A 1,2140.3822,2972.9500
2/29/2020,1009,44680,Abraxas 32B 8,2789.7187,3638.7300
2/29/2020,1009,44681,Schneider A 1,2639.8863,3978.0600
2/29/2020,1009,44682,Abraxas 31C 2,2340.2643,4118.5500
2/29/2020,1009,44683,Richards 44A 4,414.9515,875.2300
2/29/2020,1009,44684,Williams 6 2,1779.8367,2463.7200
2/29/2020,1009,44685,Hale 1524,2061.1220,3546.3000
2/29/2020,1009,44686,Slaughter -C- 1,1388.7390,807.2600
2/29/2020,1009,44687,Butchee 21 6,2297.1095,2095.5900
2/29/2020,1009,44688,Foster 41 1,2135.3958,4239.7300
2/29/2020,1009,44690,Beckham 1,2136.1010,2658.0300
2/29/2020,1009,44691,Hale 1441,2827.6390,5844.5100
2/29/2020,1009,44692,Deatherage 18 1,1708.1313,1609.3600
2/29/2020,1009,44693,Slaughter 87A 2,2257.4892,3703.2800
2/29/2020,1009,44694,Stevie Ray E Unit 1WA,15.2367,
2/29/2020,1009,44695,Abraxas 30 3,1450.7380,2833.7200
2/29/2020,1009,44696,Oneil 4 3,2609.1892,3844.4700
2/29/2020,1009,44697,Butchee 21 1,2209.5410,2518.2000
2/29/2020,1009,44698,Slaughter 87B 1,2247.0510,2568.0700
2/29/2020,1009,44699,Deatherage 23 1,2741.2595,3590.9500
2/29/2020,1009,44700,Lucy 1,1275.7965,1170.1500
2/29/2020,1009,44701,Slaughter 75A 1,2997.7630,2724.9400
2/29/2020,1009,44702,Middleton 2,1845.2455,2012.1100
2/29/2020,1009,44703,Richards 44 3,1902.6313,10742.4300
2/29/2020,1009,44704,Davis 42 3,193.9220,9165.2800
2/29/2020,1009,44705,Cook 22 8,2376.9093,3467.9000
2/29/2020,1009,44706,Nichols 24 1,759.1950,7412.0900
2/29/2020,1009,44707,Richards 44 4,2145.7852,2990.5900
2/29/2020,1009,44708,Slaughter 533,2306.3920,2943.6100
2/29/2020,1009,44709,Abraxas 27 1,3392.9642,2507.7300
2/29/2020,1009,44710,Abraxas 27 5,3233.7103,2750.6400
2/29/2020,1009,44711,Slaughter -B- 4,1214.6555,2617.7000
